合约,买卖,总持仓,昨仓,今仓,可平量,持仓均价,持仓盈亏,占用保证金,投保,交易所
c2005,买　,122,120,2,115,1899.0,"9,700.00","115,842.00",投机,大商所
i2005,买　,1018,1018,0,1018,640.00,"-152,700.00","92,160.00",投机,大商所
i2005,　卖,1000,1000,0,1000,640.00,"150,000.00",0.00,投机,大商所
i2005-C-640,买　,38,0,38,38,31.68,0.00,0.00,投机,大商所
i2005-C-690,买　,45,45,0,45,14.30,0.00,0.00,投机,大商所
i2005-P-640,买　,38,0,38,38,31.36,0.00,0.00,投机,大商所
j2005,买　,5,5,0,5,1845.00,500.00,0.00,投机,大商所
j2009,　卖,5,5,0,5,1813.00,"-4,000.00",0.00,投机,大商所
l2005,　卖,42,42,0,37,7315.0,"-7,350.00","76,807.50",投机,大商所
m2001,买　,77,77,0,77,2735.0,"-23,100.00",0.00,投机,大商所
m2001,　卖,77,77,0,77,2735.0,"23,100.00",0.00,投机,大商所
m2005-C-3050,买　,40,40,0,40,8.00,0.00,0.00,投机,大商所
m2005-C-3050,　卖,40,40,0,40,8.00,0.00,0.00,投机,大商所
m2005-C-3100,买　,40,0,40,20,10.50,0.00,0.00,投机,大商所
m2005-C-3100,　卖,51,0,51,51,11.00,0.00,"40,761.75",投机,大商所
m2005-C-3150,买　,43,0,43,43,8.50,0.00,0.00,投机,大商所
m2005-C-3150,　卖,50,0,50,50,8.90,0.00,0.00,投机,大商所
m2005-P-2400,买　,19,19,0,19,2.00,0.00,0.00,投机,大商所
m2005-P-2400,　卖,101,77,24,71,2.24,0.00,"72,644.25",投机,大商所
m2005-P-2450,买　,48,48,0,17,4.00,0.00,0.00,投机,大商所
m2005-P-2450,　卖,97,97,0,57,4.00,0.00,"56,152.25",投机,大商所
m2005-P-2500,买　,78,0,78,78,6.00,0.00,0.00,投机,大商所
m2005-P-2500,　卖,111,0,111,71,6.00,0.00,"62,309.25",投机,大商所
m2005-P-2550,买　,43,43,0,43,14.50,0.00,0.00,投机,大商所
m2005-P-2550,　卖,42,42,0,42,14.50,0.00,"16,685.00",投机,大商所
m2005-P-2600,买　,18,18,0,18,23.50,0.00,0.00,投机,大商所
m2005-P-2600,　卖,18,18,0,18,23.50,0.00,0.00,投机,大商所
p2005,买　,35,31,4,35,6034.6,"6,080.00","105,606.00",投机,大商所
v2005,　卖,15,0,15,15,6490.0,-375.00,"24,337.50",投机,大商所
al2003,　卖,300,300,0,300,14140.0,"-37,500.00","1,484,700.00",投机,上期所
al2004,买　,300,300,0,300,14105.0,"22,500.00","1,481,025.00",投机,上期所
bu2006,　卖,95,95,0,95,3096.0,"-22,800.00","264,708.00",投机,上期所
cu2001C52000,　卖,20,20,0,20,1.0,0.00,"348,000.00",投机,上期所
cu2001C53000,　卖,22,22,0,22,1.0,0.00,"327,690.00",投机,上期所
cu2001P43000,　卖,10,10,0,10,1.0,0.00,"122,875.00",投机,上期所
cu2002,　卖,12,11,1,12,49303.3,"-17,800.00","207,074.00",投机,上期所
cu2002C54000,　卖,15,15,0,15,2.0,0.00,"131,861.25",投机,上期所
rb2005,买　,30,30,0,30,3522.0,"-11,100.00","84,528.00",投机,上期所
rb2005,　卖,132,122,10,132,3519.5,"45,590.00","371,663.20",投机,上期所
rb2010,　卖,30,30,0,30,3376.0,"9,900.00","81,024.00",投机,上期所
ru2005,　卖,285,95,190,285,12796.7,"-66,500.00","3,282,345.00",投机,上期所
sp2005,　卖,50,50,0,50,4594.0,"-3,000.00","160,790.00",投机,上期所
AP005,　卖,45,45,0,45,8002.0,"-8,550.00","288,072.00",投机,郑商所
CF001,　卖,136,136,0,136,12875.0,"30,600.00","875,500.00",投机,郑商所
CF005,买　,1,1,0,1,13395.0,-400.00,"3,348.75",投机,郑商所
CF005,　卖,24,24,0,24,13395.0,"9,600.00","80,370.00",投机,郑商所
CF005P12600,买　,5,5,0,5,92.0,0.00,0.00,投机,郑商所
FG005,　卖,4,4,0,4,1471.0,320.00,"5,884.00",投机,郑商所
MA005,买　,100,80,20,100,2147.4,"16,600.00","150,318.00",投机,郑商所
SA005,　卖,175,175,0,175,1607.0,"14,000.00","281,225.00",投机,郑商所
TA005,买　,200,190,10,200,4927.9,"32,100.00","295,674.00",投机,郑商所
